Blog Title,Blog Date,Author Name,Blog Link,Thumbnail Link
How you can support homegrown labels this weekend,30 April 2020,Akanksha Kamath,https://www.vogue.in/fashion/content/why-you-need-to-support-small-businesses-girls-of-summer-sale,https://assets.vogue.in/photos/5eaa8a4eee57f50008ca922e/1:1/w_1600%2Cc_limit/Line-%2520K-18393.jpg
Pooja Mor photographs herself and describes her days of self-isolation in New York City: “We are just falling to get back up”,30 April 2020,Garima Gupta,https://www.vogue.in/fashion/content/indian-model-pooja-mor-self-shoot-photographs-self-isolation-in-new-york-city,https://assets.vogue.in/photos/5ea9c4075645980008998dbf/1:1/w_1600%2Cc_limit/DIGI_Well_Pooja%2520Mor4.jpg
Alia Bhatt's guide to wearing a crop top this season,29 April 2020,Naheed Driver,https://www.vogue.in/fashion/content/alia-bhatt-guide-to-wearing-a-crop-top-this-season,https://assets.vogue.in/photos/5ea94a9f1caf730008523328/1:1/w_1600%2Cc_limit/alia%2520bhatt%2520crop%2520top.jpg
11 maxi dresses in celebrity closets that will inspire your at-home outfits ,29 April 2020,Yashna Chopra,https://www.vogue.in/fashion/content/maxi-dresses-priyanka-chopra-deepika-padukone-celebrity-fashion-trend,https://assets.vogue.in/photos/5ea8327bba6dac0008fdc0fc/1:1/w_1600%2Cc_limit/priyanka%2520chopra%2520in%2520a%2520maxi%2520dress.jpg
"Vogue Global Conversations to return in May with John Galliano, Pierpaolo Piccioli, and more",29 April 2020,Steff Yotka,https://www.vogue.in/fashion/content/vogue-global-conversations-to-return-in-may-with-john-galliano-pierpaolo-piccioli-and-more,https://assets.vogue.in/photos/5ea9195b5645980008998d91/1:1/w_1600%2Cc_limit/VGC_Story_1920x1080-heads-lead.jpg
Pictures: The most valuable designer handbags owned by Bollywood celebrities,28 April 2020,Nupur Sarvaiya,https://www.vogue.in/fashion/content/pictures-most-expensive-designer-handbags-owned-by-bollywood-celebrities-deepika-padukone-anushka-sharma,https://assets.vogue.in/photos/5ea814334c106500088146a5/1:1/w_1600%2Cc_limit/Deepika%2520Padukone%2520with%2520a%2520Celine%2520Phantom%2520tote%2520bag.jpg
"Deepika Padukone, Karisma Kapoor and more stars show you how to wear a traditional choker",28 April 2020,Yashna Chopra,https://www.vogue.in/fashion/content/deepika-padukone-karisma-kapoor-shloka-ambani-pictures-choker-indian-jewellery,https://assets.vogue.in/photos/5e33f1bd1d9d30000883b3c7/1:1/w_1600%2Cc_limit/deepika-jewellery-f.jpg
5 things you’ll always find in Deepika Padukone’s wardrobe,27 April 2020,Garima Gupta,https://www.vogue.in/fashion/content/5-fashion-trends-in-deepika-padukone-wardrobe-jackets-jeans-sets,https://assets.vogue.in/photos/5ea6b8a44c10650008814676/1:1/w_1600%2Cc_limit/72283586_2330490290412057_3309459088101706567_n.jpg
Sonam Kapoor Ahuja and Priyanka Chopra prove that earrings are all you need to nail waist-up dressing,27 April 2020,Yashna Chopra    Naheed Driver,https://www.vogue.in/fashion/content/sonam-kapoor-ahuja-priyanka-chopra-earrings-celebrity-fashion-inspiration,https://assets.vogue.in/photos/5ea6b25d1489e700088feb45/1:1/w_1600%2Cc_limit/waist%2520up%2520dressing%2520earrings.jpg
6 ethical labels that need your support in their fight against Covid-19,27 April 2020,Emily Chan,https://www.vogue.in/fashion/content/6-ethical-labels-that-need-your-support-in-their-fight-against-covid-19,https://assets.vogue.in/photos/5ea67ac04c10650008814668/1:1/w_1600%2Cc_limit/000-LEAD-Alighieri-VogueGlobal-24April20-Credit_Rosh-Mahtani.jpg
Marketing to Gen Z during Covid-19,27 April 2020,,https://www.vogue.in/fashion/content/how-brands-are-staying-relevant-to-the-gen-z-audience-with-their-marketing-strategies-during-covid-19,https://assets.vogue.in/photos/5ea689cc4c1065000881466c/1:1/w_1600%2Cc_limit/How%2520brands%2520are%2520staying%2520relevant%2520to%2520the%2520Gen%2520Z%2520%2520audience%2520with%2520their%2520marketing%2520strategies%2520during%2520Covid-19.jpg
Weekly fashion roundup: Janhvi Kapoor and Kim Kardashian West,26 April 2020,Garima Gupta,https://www.vogue.in/fashion/content/weekly-fashion-roundup-janhvi-kapoor-and-kim-kardashian-west-26-04-2020,https://assets.vogue.in/photos/5ea2ae449331e50008bd1926/1:1/w_1600%2Cc_limit/janhvikapoor.jpg
22 pictures that will take you inside Disha Patani's wardrobe ,26 April 2020,Praachi Raniwala,https://www.vogue.in/fashion/content/pictures-inside-disha-patani-wardrobe-shorts-crop-tops,https://assets.vogue.in/photos/5ea2b3a63711dc00086a06d4/1:1/w_1600%2Cc_limit/disha%2520patani%2520dress%2520.jpg
In pictures: Sonam Kapoor Ahuja’s complete style transformation over the years,25 April 2020,Garima Gupta    Rujuta Vaidya,https://www.vogue.in/fashion/content/bollywood-celebrity-sonam-kapoor-style-evolution-transformation,https://assets.vogue.in/photos/5ea05c87bc37e000082171ed/1:1/w_1600%2Cc_limit/2-2011-May%2520The%2520Row.jpg
23 pictures that will take you inside Janhvi Kapoor’s jewellery collection,25 April 2020,Hasina Khatib,https://www.vogue.in/fashion/content/pictures-inside-janhvi-kapoor-jewellery-collection-jhumkas-necklaces,https://assets.vogue.in/photos/5ea1887d68ac94000840682f/1:1/w_1600%2Cc_limit/janhvi%2520kapoor%2520in%2520jewellery.jpg
