CUMULATIVE SCORING (MEAN)

LEMMATIZE + USEFUL:
          1-gram              2-gram                          3-gram
14          like        courtesy ofa      fashion trends youll
15  springsummer       louis vuitton       trends youll seeing
16         skirt         next season    simkhai photo courtesy
17         white       saint laurent     photo courtesy maryam
18           may            new york    courtesy maryam nassir
19        season       maryam nassir    jonathan simkhai photo
20     designers        nassir zadeh           trends new york
21            lr    jonathan simkhai           de saint sernin
22          week        laquan smith       page chosen harpers
23          well        supriya lele        every product page
24        pieces        trends youll           editor may earn
25        fringe     charlie teather          items choose buy
26            us        nensi dojaka       standout trends new
27          next        marie claire     chosen harpers bazaar
28         close      bottega veneta     earn commission items
29       spotted        michael kors     harpers bazaar editor
30         youll            tom ford   commission items choose
31       instyle         trends know       product page chosen
32          tops            may earn         bazaar editor may
33          look     earn commission  photo courtesy christian
34       account    proenza schouler    photo courtesy brandon
35          back     brandon maxwell      victor glemaud photo
36          mini    carolina herrera  courtesy brandon maxwell
37       runways            tab link        nassir zadeh photo
38       dresses        six standout      bevza photo courtesy
39     clockwise      harpers bazaar    glemaud photo courtesy
40      pictured     standout trends      zadeh photo courtesy
41         saint          mini skirt     brandon maxwell photo
42       gingham       naked dresses         dont account sign
43         pants          david koma        account sign today
44           one        york fashion           might also like
45         getty      dress courtesy           white labor day
46          best        youll seeing           marie claire us
47       crochet   seeing everywhere   navigation menu fashion
48           bra          rejina pyo     products love promise
49           get       ellie pithers     commission links page

