CUMULATIVE SCORING (MAX)

LEMMATIZE + USEFUL:
          1-gram              2-gram                    3-gram
10       spotted        sara holzman       trends youll seeing
11         getty         next season    courtesy maryam nassir
12        bikini        courtesy ofa    jonathan simkhai photo
13       revolve     charlie teather    simkhai photo courtesy
14         close        marie claire     photo courtesy maryam
15       holzman      bottega veneta          new york fashion
16          sara            tab link         york fashion week
17        images        six standout          items choose buy
18          says      harpers bazaar           editor may earn
19       mcqueen        youll seeing       standout trends new
20       perfect   seeing everywhere       product page chosen
21       crochet      dress courtesy       page chosen harpers
22      password         marina liao        every product page
23       account         close close     chosen harpers bazaar
24         trend     forgot password     harpers bazaar editor
25         dress     standout trends     earn commission items
26           new       louis vuitton   commission items choose
27       wiggins       dolce gabbana         bazaar editor may
28         depop          mini skirt        nassir zadeh photo
29       eloquii     instyle instyle      bevza photo courtesy
30           miu        fashion week    glemaud photo courtesy
31         marie        york fashion  photo courtesy christian
32     alexander             miu miu      zadeh photo courtesy
33          well            new york  courtesy brandon maxwell
34         gucci        trends youll      victor glemaud photo
35         pants        supriya lele     brandon maxwell photo
36           ofa      chopova lowena    photo courtesy brandon
37         email       alice newbold        account sign today
38           top      christian dior         dont account sign
39       teather      victor glemaud           marie claire us
40       charlie       maryam nassir           might also like
41        trends        nassir zadeh           white labor day
42         youll          david koma     earn commission links
43         skirt        laquan smith     products love promise
44          shop        product page      links page recommend
45       gingham    commission items   page recommend products
46      cardigan         kerry pieri       epic fashion trends
47        claire       every product     commission links page
48       fashion       bazaar editor   recommend products love
49        spring        items choose       london fashion week

