CUMULATIVE SCORING (MEAN)

LEMMATIZE + USEFUL:
        1-gram               2-gram                        3-gram
25   fullerton    content instagram           slip dresses summer
26        shop          zebra print       teather charlie teather
27        zara      uk largechevron        choicesthis link opens
28        also        modest summer         tab terms servicethis
29      trends         slip dresses           close dialog window
30  originates         month affirm            new tab california
31      viewed       discount codes       tab california sellthis
32          us            best slip            tab ad choicesthis
33       email        wedding guest       privacy policythis link
34         one         fashion week        terms servicethis link
35        site       print trousers           sellthis link opens
36        crop         modal window        servicethis link opens
37         com      account account  accessibilitythis link opens
38       naked          opens modal                    new tab ad
39   alexandra       fashion trends    web accessibilitythis link
40        slip           best biker              modal window web
41        wear        guest dresses            naked dresses time
42        look            save shop       rights reserved instyle
43        asos         account sign  window web accessibilitythis
44      beauty         sign purewow           ad choicesthis link
45     gallery           sign today         policythis link opens
46          hm         dont account                 new tab terms
47      window       summer wedding      california sellthis link
48        sign         spencer sale       site originates content
49       biker           midi dress       originates content also

